field,n_retractions
accounting,7
architecture,1
basic life sciences retractions,940
biochemistry,36
cancer biology,137
cell biology,343
crystallography retractions,11
genetics retractions,137
life sciences,8
molecular biology,185
neuroscience retractions,174
pathology,24
Plant biology,46
business,23
cartography,2
clinical study retractions,"1,233"
anatomy,31
anesthesia retractions,49
Bioethics,3
cardiology retractions,143
cardiovascular research,58
dentistry,27
dermatology retractions,24
diabetes,67
drug design,39
epidemiology,4
gastroenterology,20
Geriatric medicine,26
immunology retractions,115
infectious disease,120
nursing retractions,10
nutrition,59
oncology retractions,233
Ophthalmology,6
psychiatry,49
psychology,156
pulmonology,41
sexual and marital therapy,20
sports,23
surgery retractions,89
urology,24
Communications,5
ecology,22
economics,40
education,25
engineering,69
environmental retractions,68
environmental science,102
climate change,27
film studies,1
food science,26
foreign aid,3
forensics,3
GcMAF,1
ground water,6
history,5
law,22
literature,6
management,39
parasitology,1
peer review,6
PhD thesis,3
philosophy,3
physical sciences retractions,404
chemistry retractions,172
computer science,46
geology,14
materials science,59
math retractions,51
physics retractions,117
space research,11
poetry,1
psychology,11
public health/safety,75
studies about peer review,61
studies about retractions,154
toxicology,26
urban planning,4
veterinary science,30
